Id,avg_very_active_minutes,avg_fairly_active_minutes,avg_lightly_active_minutes,avg_sedentary_minutes
2026352035,0.1,0.26,256.65,689.42
1844505072,0.13,1.29,115.45,1206.61
4057192912,0.75,1.5,103.0,1217.25
8792009665,0.97,4.03,91.79,1060.48
1927972279,1.32,0.77,38.58,1317.42
2320127002,1.35,2.58,198.19,1220.1
6117666160,1.57,2.04,288.36,796.29
6290855005,2.76,3.79,227.45,1193.03
4319703577,3.58,12.32,228.77,735.81
4702921684,5.13,26.03,237.48,766.42
4020332650,5.19,5.35,76.94,1237.26
4445114986,6.61,1.74,209.1,829.9
1624580081,8.68,5.81,153.48,1257.74
3372868164,9.15,4.1,327.9,1077.55
1644430081,9.57,21.37,178.47,1161.87
8583815059,9.68,22.19,138.29,1267.23
4558609924,10.39,13.71,284.97,1093.61
6775888955,11.0,14.81,40.15,1299.42
2347167796,13.5,20.56,252.5,687.17
2873212765,14.1,6.13,308.0,1097.19
3977333714,18.9,61.27,174.77,707.53
8253242879,20.53,14.32,116.89,1287.37
6962181067,22.81,18.52,245.81,662.32
4388161847,23.16,20.35,229.35,836.68
5553957443,23.42,13.0,206.19,668.35
7007744171,31.04,16.27,280.73,1055.35
2022484408,36.29,19.35,257.45,1112.58
1503960366,38.71,19.16,219.94,848.16
7086361926,42.58,25.35,143.84,850.45
8378563200,58.68,10.26,156.1,716.13
8877689391,66.06,9.94,234.71,1112.87
8053475328,85.16,9.58,150.97,1148.0
5577150313,87.33,29.83,147.93,754.43
