Date,avg_very_active_minutes,avg_fairly_active_minutes,avg_lightly_active_minutes,avg_sedentary_minutes
2016-05-12,4.19,2.14,98.81,652.0
2016-05-04,13.97,11.14,179.79,1037.17
2016-05-02,16.07,13.17,186.83,1027.41
2016-04-29,16.25,14.0,204.97,989.78
2016-05-08,17.07,17.37,184.81,958.07
2016-04-28,17.97,11.81,209.19,981.72
2016-04-23,18.78,15.03,232.91,959.91
2016-04-17,18.91,11.84,165.34,1049.97
2016-04-15,19.18,9.88,213.85,961.06
2016-04-26,19.81,17.63,200.25,1025.41
2016-04-30,20.26,16.55,218.55,938.9
2016-04-13,20.33,10.58,181.76,1021.79
2016-05-06,20.41,11.31,201.93,1021.48
2016-05-07,20.62,14.03,181.24,953.9
2016-04-14,20.94,12.39,201.0,1010.03
2016-04-24,21.03,13.72,186.31,992.16
2016-05-11,21.25,14.5,184.54,888.21
2016-05-05,22.07,15.45,207.24,1032.93
2016-04-12,22.3,7.85,199.0,1026.21
2016-05-01,22.63,15.7,160.27,953.5
2016-05-09,22.85,15.48,201.19,976.33
2016-04-27,23.66,10.78,197.56,1004.25
2016-04-19,23.97,13.78,201.91,1003.94
2016-05-10,24.19,18.65,179.35,958.69
2016-04-20,24.19,18.75,203.59,974.13
2016-04-18,24.41,16.13,188.28,1061.22
2016-04-22,24.44,13.25,195.53,1032.13
2016-05-03,24.93,14.83,203.34,1013.41
2016-04-21,26.84,14.94,182.66,1031.87
2016-04-16,27.84,15.13,193.81,1002.66
2016-04-25,28.41,11.38,192.88,1038.69
